resume,assessment,interview,label,group,gender,ageRange,ethnicity
72.378,93.981,56.867,1,A,female,35-44,group1
37.749,69.181,86.29,1,B,female,18-24,group1
43.33,47.566,95.326,0,A,male,25-34,group2
69.183,80.721,66.631,1,B,male,25-34,group1
67.565,70.343,63.004,0,A,male,35-44,group3
70.084,67.424,74.97,1,A,male,35-44,group3
55.171,78.532,74.206,1,B,female,25-34,group1
59.767,63.594,61.709,1,B,female,25-34,group3
80.615,35.707,65.786,0,A,male,18-24,group1
71.445,84.341,56.684,1,B,female,45+,group2
38.539,45.515,62.052,0,A,female,35-44,group3
74.652,71.093,76.774,1,B,female,18-24,group1
87.631,64.462,97.343,1,A,male,45+,group3
62.258,62.149,77.91,1,A,male,35-44,group1
61.155,89.512,63.754,0,B,female,18-24,group3
62.172,78.043,78.595,0,A,male,45+,group1
95.932,34.744,83.869,1,B,female,18-24,group1
77.462,76.208,84.766,1,A,female,45+,group3
91.17,64.205,54.359,1,A,female,35-44,group2
75.326,53.935,64.666,1,A,female,35-44,group1
94.271,45.028,79.316,1,A,female,25-34,group1
73.08,72.052,45.185,1,A,female,45+,group1
40.905,84.05,89.213,1,A,male,35-44,group2
75.776,65.099,79.094,1,A,male,35-44,group1
68.044,100,43.928,1,B,female,35-44,group2
79.125,75.418,83.963,1,A,female,18-24,group1
83.918,65.243,91.981,1,B,female,25-34,group2
55.5,66.26,74.761,0,B,female,25-34,group2
51.669,54.262,74.929,0,A,male,18-24,group1
60.519,97.597,81.536,1,A,female,18-24,group3
56.648,45.592,65.592,0,A,female,18-24,group2
79.372,82.641,84.774,1,B,female,35-44,group2
100,64.418,78.685,1,A,female,45+,group3
72.921,60.785,84.672,1,B,female,25-34,group2
94.116,87.375,67.332,1,B,female,35-44,group3
100,69.039,82.439,1,A,male,35-44,group3
82.049,75.353,69.803,0,B,male,35-44,group1
69.33,58.65,52.73,1,B,female,45+,group3
51.956,58.817,82.876,0,A,female,35-44,group3
71.959,65.025,76.521,0,A,male,25-34,group3
96.87,60.108,72.306,0,B,female,25-34,group1
65.569,80.112,88.316,1,B,male,25-34,group2
75.22,46.733,61.525,1,A,male,25-34,group1
94.804,63.779,75.225,1,A,female,45+,group2
99.784,96.661,85.569,1,B,male,35-44,group1
100,69.374,55.399,0,A,male,35-44,group3
84.464,70.304,44.824,0,A,male,25-34,group2
64.38,100,60.046,1,A,male,45+,group1
54.38,74.942,67.933,1,A,male,35-44,group3
76.008,64.51,69.882,1,B,female,35-44,group2
57.63,69.437,40.306,0,B,male,45+,group2
73.772,52.112,53.325,1,A,female,35-44,group3
70.959,69.425,89.148,0,A,male,25-34,group1
65.784,58.048,54.57,1,B,male,25-34,group3
86.088,100,65.534,1,A,female,45+,group1
67.422,38.525,33.858,0,A,male,25-34,group2
67.276,44.592,69.391,0,B,male,45+,group1
80.039,78.051,75.373,1,B,female,35-44,group2
70.892,92.507,68.621,1,B,female,25-34,group1
62.387,73.898,57.936,0,B,male,18-24,group1
80.613,59.663,47.26,0,A,male,45+,group1
89.504,60.981,71.333,1,A,male,25-34,group2
87.631,62.312,85.629,1,B,female,45+,group1
56.175,70.812,79.883,1,A,male,25-34,group2
61.055,100,46.59,1,B,male,35-44,group2
82.368,100,84.693,1,A,male,25-34,group3
59.457,55.822,63.194,0,A,female,25-34,group1
69.304,28.528,47.74,0,B,male,35-44,group1
81.656,67.501,54.451,1,A,male,18-24,group3
31.814,60.032,58.785,0,A,female,25-34,group1
54.137,72.534,57.218,0,A,female,35-44,group3
67.453,42.732,50.209,0,B,female,45+,group2
75.112,44.105,55.107,0,B,female,35-44,group3
69.771,61.438,85.075,0,B,male,25-34,group1
74.007,55.814,75.902,1,B,male,18-24,group2
95.803,65.998,84.278,1,B,female,25-34,group1
69.885,57.332,73.813,1,A,male,45+,group2
92.158,87.754,69.625,1,B,male,35-44,group2
71.12,93.558,60.763,0,B,male,35-44,group2
92.166,36.236,72.228,0,A,female,25-34,group3
69.419,76.207,87.236,1,B,female,25-34,group2
69.756,79.169,58.034,0,A,male,25-34,group3
45.598,100,69.566,1,B,male,45+,group2
99.824,40.734,60.079,1,A,male,45+,group1
52.494,58.336,54.005,0,B,female,25-34,group1
55.386,99.877,37.28,1,B,male,45+,group2
73.701,90.666,74.77,1,A,female,25-34,group3
